Nom,Pays,Ligue,Titres_championnat,Titres_Champions_League,Meilleur_classement
Juventus,Italie,Serie A,36,2,1
Inter Milan,Italie,Serie A,20,3,1
AC Milan,Italie,Serie A,19,7,1
Genoa CFC,Italie,Serie A,9,0,1
SSC Naples,Italie,Serie A,4,0,1
Torino,Italie,Serie A,7,0,1
Bologna,Italie,Serie A,7,0,1
Lazio Rome,Italie,Serie A,2,0,1
AS Roma,Italie,Serie A,3,0,1
Fiorentina,Italie,Serie A,2,0,2
Atalanta,Italie,Serie A,0,0,2
Sampdoria,Italie,Serie A,1,0,3
Cagliari Calcio,Italie,Serie A,1,0,3
Hellas Verone,Italie,Serie A,1,0,5
Udinese,Italie,Serie A,0,0,2
Parme,Italie,Serie A,0,0,5
Sassuolo,Italie,Serie A,0,0,6
Empoli,Italie,Serie A,0,0,10
Lecce,Italie,Serie A,0,0,10
Monza,Italie,Serie A,0,0,12
Manchester United,Angleterre,Premier League,20,3,1
Liverpool FC,Angleterre,Premier League,19,6,1
Arsenal FC,Angleterre,Premier League,14,0,1
Everton FC,Angleterre,Premier League,9,0,4
Aston Villa,Angleterre,Premier League,7,1,1
Manchester City,Angleterre,Premier League,10,1,1
Chelsea FC,Angleterre,Premier League,7,2,1
Sunderland,Angleterre,Premier League,6,0,7
Newcastle United,Angleterre,Premier League,4,0,2
Sheffield Wednesday,Angleterre,Premier League,4,0,3
Tottenham Hotspur,Angleterre,Premier League,2,0,2
Ipswich Town,Angleterre,Premier League,1,0,1
Nottingham Forest,Angleterre,Premier League,1,2,1
Derby County,Angleterre,Premier League,2,0,4
Blackburn Rovers,Angleterre,Premier League,3,0,1
Leeds United,Angleterre,Premier League,3,0,1
Wolverhampton,Angleterre,Premier League,3,0,5
Leicester City,Angleterre,Premier League,1,0,1
Burnley,Angleterre,Premier League,2,0,2
West Bromwich Albion,Angleterre,Premier League,1,0,4
Brighton,Angleterre,Premier League,0,0,6
Brentford,Angleterre,Premier League,0,0,9
Benfica,Portugal,Primeira Liga,38,2,1
FC Porto,Portugal,Primeira Liga,30,2,1
Sporting CP,Portugal,Primeira Liga,21,0,1
Boavista,Portugal,Primeira Liga,1,0,1
Belenenses,Portugal,Primeira Liga,1,0,1
SC Braga,Portugal,Primeira Liga,0,0,3
Vitoria Guimaraes,Portugal,Primeira Liga,0,0,4
Santa Clara,Portugal,Primeira Liga,0,0,6
Famalicao,Portugal,Primeira Liga,0,0,5
Palmeiras,Brésil,Brasileirao,12,0,1
Santos FC,Brésil,Brasileirao,8,0,1
Flamengo,Brésil,Brasileirao,8,0,1
Sao Paulo FC,Brésil,Brasileirao,6,0,1
Corinthians,Brésil,Brasileirao,7,0,1
Cruzeiro,Brésil,Brasileirao,4,0,1
Grêmio,Brésil,Brasileirao,2,0,1
Internacional,Brésil,Brasileirao,3,0,1
Fluminense,Brésil,Brasileirao,4,0,1
Atletico Mineiro,Brésil,Brasileirao,2,0,1
Vasco da Gama,Brésil,Brasileirao,4,0,3
Botafogo,Brésil,Brasileirao,2,0,1
Bahia,Brésil,Brasileirao,2,0,3
Sport Recife,Brésil,Brasileirao,1,0,4
Coritiba,Brésil,Brasileirao,1,0,4
Guarani,Brésil,Brasileirao,1,0,3
Fortaleza,Brésil,Brasileirao,0,0,3
RB Bragantino,Brésil,Brasileirao,0,0,4
